product_id,brand,name,category,price
1,Nike,discussion last,Loafers,102.86
2,Nike,sometimes administration,Sandals,63.4
3,Reebok,cover always,Loafers,79.43
4,Reebok,point show,Sandals,93.62
5,Vans,since city,Sneakers,126.98
6,Puma,story management,Sneakers,113.98
7,Adidas,quite shoulder,Loafers,97.66
8,Vans,perform memory,Boots,87.27
9,Adidas,less nothing,Loafers,120.63
10,Puma,believe drop,Sandals,80.18
11,Adidas,believe once,Loafers,132.49
12,Nike,language government,Boots,135.16
13,Reebok,low family,Sneakers,62.97
14,Reebok,fill college,Sandals,73.3
15,Reebok,admit raise,Boots,132.7
16,Adidas,situation heavy,Sandals,55.65
17,Reebok,guess point,Loafers,142.53
18,Puma,three rule,Boots,123.68
19,Vans,everyone such,Sneakers,59.5
20,Adidas,husband go,Loafers,120.89
21,Nike,area direction,Sandals,147.81
22,Adidas,century seem,Boots,71.01
23,Adidas,share meet,Loafers,142.59
24,Adidas,phone add,Sandals,50.99
25,Reebok,maybe administration,Loafers,138.67
26,Puma,respond economy,Boots,101.91
27,Adidas,director interest,Boots,76.47
28,Vans,agreement four,Sandals,95.83
29,Puma,speak business,Loafers,137.09
30,Nike,teacher international,Boots,59.66
31,Puma,until south,Boots,95.75
32,Puma,model position,Sneakers,97.1
33,Puma,born group,Loafers,52.16
34,Reebok,my power,Sneakers,128.39
35,Adidas,economic mother,Loafers,100.35
36,Reebok,we one,Boots,139.88
37,Adidas,than natural,Loafers,70.28
38,Nike,interest think,Sneakers,96.0
39,Reebok,response century,Boots,120.62
40,Nike,around country,Sneakers,124.23
41,Reebok,record describe,Sandals,126.87
42,Reebok,enough across,Loafers,97.17
43,Nike,thought product,Sandals,79.46
44,Puma,turn fire,Loafers,146.58
45,Vans,whole spring,Loafers,73.27
46,Nike,now seat,Loafers,134.19
47,Reebok,write trouble,Sneakers,55.79
48,Reebok,truth actually,Boots,136.61
49,Nike,game however,Boots,113.37
50,Puma,quickly get,Boots,89.0
51,Nike,save again,Boots,103.05
52,Puma,all wish,Sneakers,81.04
53,Nike,white girl,Loafers,113.94
54,Vans,environmental order,Sneakers,72.93
55,Adidas,growth sort,Sandals,130.63
56,Puma,dream look,Loafers,55.66
57,Reebok,just phone,Boots,68.01
58,Nike,often visit,Boots,120.71
59,Reebok,only stage,Boots,56.92
60,Vans,other Republican,Sandals,136.29
61,Puma,majority later,Loafers,93.48
62,Nike,real cost,Loafers,136.99
63,Puma,girl action,Loafers,149.0
64,Puma,miss authority,Sneakers,74.23
65,Nike,sell term,Loafers,120.71
66,Nike,character alone,Sneakers,76.49
67,Vans,heavy late,Sneakers,129.89
68,Vans,nice they,Sandals,64.01
69,Reebok,computer nice,Boots,140.57
70,Vans,beat popular,Boots,68.01
71,Vans,baby mission,Boots,70.28
72,Nike,appear purpose,Loafers,86.23
73,Nike,oil Republican,Boots,63.13
74,Reebok,indeed reality,Sneakers,108.86
75,Puma,artist paper,Loafers,143.11
76,Vans,true seat,Loafers,73.67
77,Puma,somebody popular,Sneakers,149.44
78,Vans,society three,Sandals,103.09
79,Reebok,short range,Sneakers,86.28
80,Nike,garden media,Loafers,114.57
81,Vans,along point,Boots,83.27
82,Adidas,market forward,Sneakers,132.91
83,Puma,world interview,Sneakers,147.94
84,Nike,information eye,Sandals,63.54
85,Reebok,rest never,Sandals,147.99
86,Nike,low still,Loafers,59.95
87,Adidas,million education,Loafers,50.58
88,Puma,common such,Sneakers,91.58
89,Nike,sign something,Loafers,103.89
90,Reebok,then participant,Loafers,118.23
91,Nike,hear right,Sandals,127.07
92,Adidas,across then,Sneakers,86.23
93,Reebok,go good,Boots,127.08
94,Nike,several establish,Sandals,51.47
